Section,Siman,Commentary,Total Blocks,Translated,Pending,Percent Complete
"Yoreh De'ah",1,"Baer Hetev",41,0,41,0%
"Yoreh De'ah",1,"Be'er HaGolah",14,0,14,0%
"Yoreh De'ah",1,"Biur HaGRA",43,0,43,0%
"Yoreh De'ah",1,"kaf-hachayim",14,0,14,0%
"Yoreh De'ah",1,"kereti",41,0,41,0%
"Yoreh De'ah",1,"Mechaber and Rama",14,0,14,0%
"Yoreh De'ah",1,"nekudot-hakesef",5,0,5,0%
"Yoreh De'ah",1,"Peleti",16,0,16,0%
"Yoreh De'ah",1,"Pitchei Teshuva",14,0,14,0%
"Yoreh De'ah",1,"Rabbi Akiva Eiger (YD)",14,0,14,0%
"Yoreh De'ah",1,"Siftei Kohen (Shach)",41,0,41,0%
"Yoreh De'ah",1,"Turei Zahav (Taz)",23,0,23,0%
"Yoreh De'ah",1,"Yad Avraham",5,0,5,0%
"Yoreh De'ah",1,"Yad Ephraim",9,0,9,0%
"Yoreh De'ah",2,"Baer Hetev",30,0,30,0%
"Yoreh De'ah",2,"Be'er HaGolah",11,0,11,0%
"Yoreh De'ah",2,"Biur HaGRA",27,0,27,0%
"Yoreh De'ah",2,"kaf-hachayim",11,0,11,0%
"Yoreh De'ah",2,"kereti",25,0,25,0%
"Yoreh De'ah",2,"Mechaber and Rama",11,0,11,0%
"Yoreh De'ah",2,"nekudot-hakesef",6,0,6,0%
"Yoreh De'ah",2,"Peleti",8,0,8,0%
"Yoreh De'ah",2,"Pitchei Teshuva",11,0,11,0%
"Yoreh De'ah",2,"Rabbi Akiva Eiger (YD)",11,0,11,0%
"Yoreh De'ah",2,"Siftei Kohen (Shach)",31,0,31,0%
"Yoreh De'ah",2,"Turei Zahav (Taz)",14,0,14,0%
"Yoreh De'ah",2,"Yad Avraham",4,0,4,0%
"Yoreh De'ah",3,"Baer Hetev",2,0,2,0%
"Yoreh De'ah",3,"Be'er HaGolah",5,0,5,0%
"Yoreh De'ah",3,"Biur HaGRA",5,0,5,0%
"Yoreh De'ah",3,"kaf-hachayim",1,0,1,0%
"Yoreh De'ah",3,"kereti",2,0,2,0%
"Yoreh De'ah",3,"Mechaber and Rama",1,0,1,0%
"Yoreh De'ah",3,"Peleti",2,0,2,0%
"Yoreh De'ah",3,"Pitchei Teshuva",1,0,1,0%
"Yoreh De'ah",3,"Rabbi Akiva Eiger (YD)",1,0,1,0%
"Yoreh De'ah",3,"Siftei Kohen (Shach)",1,0,1,0%
"Yoreh De'ah",3,"Turei Zahav (Taz)",1,0,1,0%
"Yoreh De'ah",3,"Yad Avraham",1,0,1,0%
"Yoreh De'ah",3,"Yad Ephraim",1,0,1,0%
"Yoreh De'ah",4,"Baer Hetev",12,0,12,0%
"Yoreh De'ah",4,"Be'er HaGolah",13,0,13,0%
"Yoreh De'ah",4,"Biur HaGRA",12,0,12,0%
"Yoreh De'ah",4,"kaf-hachayim",7,0,7,0%
"Yoreh De'ah",4,"kereti",13,0,13,0%
"Yoreh De'ah",4,"Mechaber and Rama",7,0,7,0%
"Yoreh De'ah",4,"nekudot-hakesef",3,0,3,0%
"Yoreh De'ah",4,"Peleti",5,0,5,0%
"Yoreh De'ah",4,"Pitchei Teshuva",4,0,4,0%
