Libre wave 151-250 workers=4 glossary=514 entries
FAIL siman_151\beur-hagra\part-001.txt 1 א fetch failed
FAIL siman_151\baer-heitev\part-001.txt 1 ב fetch failed
FAIL siman_151\pitchei-teshuva\part-001.txt 2 _ fetch failed
FAIL siman_151\baer-heitev\part-001.txt 1 ה fetch failed
FAIL siman_151\beur-hagra\part-001.txt 1 ו fetch failed
FAIL siman_151\pitchei-teshuva\part-001.txt 3 _ fetch failed
FAIL siman_151\siftei-kohen\part-001.txt 1 ג fetch failed
FAIL siman_151\beur-hagra\part-001.txt 1 ח fetch failed
FAIL siman_151\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_151\baer-heitev\part-001.txt 3 _ fetch failed
FAIL siman_151\siftei-kohen\part-001.txt 1 ו fetch failed
FAIL siman_151\turei-zahav\part-001.txt 4 א fetch failed
FAIL siman_151\baer-heitev\part-001.txt 11 _ fetch failed
FAIL siman_151\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_151\siftei-kohen\part-001.txt 3 _ fetch failed
FAIL siman_151\yad-ephraim\part-001.txt 1 _ fetch failed
FAIL siman_151\beur-hagra\part-001.txt 4 ג fetch failed
FAIL siman_151\turei-zahav\part-001.txt 12 _ fetch failed
FAIL siman_151\siftei-kohen\part-001.txt 4 ד fetch failed
FAIL siman_151\beur-hagra\part-001.txt 7 א fetch failed
FAIL siman_151\beur-hagra\part-001.txt 7 ב fetch failed
FAIL siman_151\beur-hagra\part-001.txt 10 א fetch failed
FAIL siman_151\beur-hagra\part-001.txt 10 ב fetch failed
FAIL siman_151\beur-hagra\part-001.txt 11 _ fetch failed
siman_151 libre-wave DONE (2 blocks)
FAIL siman_152\siftei-kohen\part-001.txt 2 _ fetch failed
FAIL siman_152\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_152\beer-hagolah\part-001.txt 1 א fetch failed
FAIL siman_152\baer-heitev\part-001.txt 1 א fetch failed
FAIL siman_152\turei-zahav\part-001.txt 1 ב fetch failed
FAIL siman_152\beer-hagolah\part-001.txt 1 ה fetch failed
FAIL siman_152\turei-zahav\part-001.txt 1 ג fetch failed
siman_152 libre-wave DONE (0 blocks)
FAIL siman_153\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_153\beur-hagra\part-001.txt 1 א fetch failed
FAIL siman_153\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_153\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_153\yad-ephraim\part-001.txt 1 _ fetch failed
FAIL siman_153\beur-hagra\part-001.txt 1 ג fetch failed
FAIL siman_153\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_153\beur-hagra\part-001.txt 3 ג fetch failed
FAIL siman_153\beur-hagra\part-001.txt 3 ד fetch failed
FAIL siman_153\beur-hagra\part-001.txt 4 ב fetch failed
siman_153 libre-wave DONE (0 blocks)
FAIL siman_154\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_154\beur-hagra\part-001.txt 1 ב fetch failed
FAIL siman_154\baer-heitev\part-001.txt 1 ב fetch failed
FAIL siman_154\siftei-kohen\part-001.txt 1 ג fetch failed
FAIL siman_154\beur-hagra\part-001.txt 1 ג fetch failed
FAIL siman_154\pitchei-teshuva\part-001.txt 2 _ fetch failed
FAIL siman_154\baer-heitev\part-001.txt 2 א fetch failed
FAIL siman_154\beur-hagra\part-001.txt 2 א fetch failed
siman_154 libre-wave DONE (0 blocks)
FAIL siman_155\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_155\beer-hagolah\part-001.txt 2 _ fetch failed
FAIL siman_155\baer-heitev\part-001.txt 3 ד fetch failed
FAIL siman_155\beur-hagra\part-001.txt 1 א fetch failed
FAIL siman_155\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_155\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_155\siftei-kohen\part-001.txt 1 ו fetch failed
FAIL siman_155\beur-hagra\part-001.txt 1 ב fetch failed
FAIL siman_155\siftei-kohen\part-001.txt 2 ב fetch failed
FAIL siman_155\beur-hagra\part-001.txt 1 ז fetch failed
FAIL siman_155\siftei-kohen\part-001.txt 3 ט fetch failed
FAIL siman_155\beur-hagra\part-001.txt 1 ח fetch failed
FAIL siman_155\beur-hagra\part-001.txt 2 א fetch failed
FAIL siman_155\beur-hagra\part-001.txt 2 ב fetch failed
FAIL siman_155\beur-hagra\part-001.txt 2 ד fetch failed
FAIL siman_155\beur-hagra\part-001.txt 3 א fetch failed
FAIL siman_155\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_155\beur-hagra\part-001.txt 3 ג fetch failed
FAIL siman_155\beur-hagra\part-001.txt 3 ז fetch failed
FAIL siman_155\beur-hagra\part-001.txt 3 ח fetch failed
FAIL siman_155\beur-hagra\part-001.txt 3 י fetch failed
siman_155 libre-wave DONE (0 blocks)
FAIL siman_156\beur-hagra\part-001.txt 2 ד fetch failed
FAIL siman_156\siftei-kohen\part-001.txt 1 ב fetch failed
FAIL siman_156\beur-hagra\part-001.txt 2 ה fetch failed
FAIL siman_156\beur-hagra\part-001.txt 2 ו fetch failed
siman_156 libre-wave DONE (0 blocks)
FAIL siman_157\beur-hagra\part-001.txt 1 ג fetch failed
FAIL siman_157\beer-hagolah\part-001.txt 1 _ fetch failed
FAIL siman_157\baer-heitev\part-001.txt 1 א fetch failed
FAIL siman_157\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_157\baer-heitev\part-001.txt 1 ז fetch failed
FAIL siman_157\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 ד fetch failed
FAIL siman_157\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 ה fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 א fetch failed
FAIL siman_157\baer-heitev\part-001.txt 1 ט fetch failed
FAIL siman_157\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
FAIL siman_157\baer-heitev\part-001.txt 1 י fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 ב fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 ז fetch failed
FAIL siman_157\rabbi-akiva-eiger-yd\part-001.txt 3 _ fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 י fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 ז fetch failed
FAIL siman_157\baer-heitev\part-001.txt 2 ג fetch failed
FAIL siman_157\turei-zahav\part-001.txt 1 ג fetch failed
FAIL siman_157\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 ח fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 נ fetch failed
FAIL siman_157\turei-zahav\part-001.txt 1 ו fetch failed
FAIL siman_157\turei-zahav\part-001.txt 1 ז fetch failed
