Retranslate simanim 201-201 codes=[mt_garbage] dry=false
OK siman_201\baer-heitev\part-001.txt seif 11 marker _
OK siman_201\baer-heitev\part-001.txt seif 12 marker א
OK siman_201\baer-heitev\part-001.txt seif 12 marker ב
OK siman_201\baer-heitev\part-001.txt seif 15 marker ב
OK siman_201\baer-heitev\part-001.txt seif 15 marker ג
OK siman_201\baer-heitev\part-001.txt seif 15 marker ד
OK siman_201\baer-heitev\part-001.txt seif 15 marker ה
OK siman_201\baer-heitev\part-001.txt seif 35 marker _
OK siman_201\baer-heitev\part-001.txt seif 36 marker א
OK siman_201\baer-heitev\part-001.txt seif 36 marker ב
OK siman_201\baer-heitev\part-001.txt seif 40 marker א
OK siman_201\baer-heitev\part-001.txt seif 40 marker ב
OK siman_201\baer-heitev\part-001.txt seif 46 marker _
OK siman_201\baer-heitev\part-001.txt seif 47 marker _
OK siman_201\baer-heitev\part-001.txt seif 50 marker ב
OK siman_201\baer-heitev\part-001.txt seif 53 marker _
OK siman_201\baer-heitev\part-001.txt seif 55 marker א
OK siman_201\baer-heitev\part-001.txt seif 56 marker _
OK siman_201\baer-heitev\part-001.txt seif 57 marker _
OK siman_201\baer-heitev\part-001.txt seif 63 marker ב
OK siman_201\baer-heitev\part-002.txt seif 66 marker ב
OK siman_201\baer-heitev\part-002.txt seif 74 marker _
OK siman_201\baer-heitev\part-002.txt seif 75 marker _
OK siman_201\beer-hagolah\part-001.txt seif 14 marker _
OK siman_201\beer-hagolah\part-001.txt seif 21 marker _
OK siman_201\beur-hagra\part-001.txt seif 1 marker כ
OK siman_201\beur-hagra\part-001.txt seif 2 marker ד
OK siman_201\beur-hagra\part-001.txt seif 2 marker ה
OK siman_201\beur-hagra\part-001.txt seif 2 marker ו
OK siman_201\beur-hagra\part-001.txt seif 2 marker ח
OK siman_201\beur-hagra\part-001.txt seif 3 marker _
OK siman_201\beur-hagra\part-001.txt seif 4 marker א
OK siman_201\beur-hagra\part-001.txt seif 4 marker ג
OK siman_201\beur-hagra\part-001.txt seif 7 marker א
OK siman_201\beur-hagra\part-001.txt seif 7 marker ד
OK siman_201\beur-hagra\part-001.txt seif 9 marker ב
OK siman_201\beur-hagra\part-001.txt seif 11 marker א
OK siman_201\beur-hagra\part-001.txt seif 11 marker ב
OK siman_201\beur-hagra\part-001.txt seif 13 marker _
OK siman_201\beur-hagra\part-001.txt seif 15 marker ג
OK siman_201\beur-hagra\part-001.txt seif 15 marker ה
OK siman_201\beur-hagra\part-001.txt seif 34 marker א
OK siman_201\beur-hagra\part-001.txt seif 41 marker _
OK siman_201\beur-hagra\part-001.txt seif 44 marker א
OK siman_201\beur-hagra\part-001.txt seif 44 marker ב
OK siman_201\beur-hagra\part-001.txt seif 48 marker ב
OK siman_201\beur-hagra\part-001.txt seif 48 marker ו
OK siman_201\beur-hagra\part-001.txt seif 49 marker א
OK siman_201\beur-hagra\part-001.txt seif 49 marker ב
OK siman_201\beur-hagra\part-001.txt seif 50 marker ד
OK siman_201\beur-hagra\part-001.txt seif 50 marker ו
OK siman_201\beur-hagra\part-001.txt seif 51 marker _
OK siman_201\beur-hagra\part-001.txt seif 52 marker א
OK siman_201\beur-hagra\part-001.txt seif 52 marker ב
OK siman_201\beur-hagra\part-001.txt seif 54 marker ב
OK siman_201\beur-hagra\part-001.txt seif 65 marker ב
OK siman_201\beur-hagra\part-002.txt seif 66 marker ג
OK siman_201\beur-hagra\part-002.txt seif 75 marker א
OK siman_201\beur-hagra\part-002.txt seif 75 marker ג
OK siman_201\nekudot-hakesef\part-001.txt seif 5 marker _
OK siman_201\pitchei-teshuva\part-001.txt seif 19 marker _
OK siman_201\pitchei-teshuva\part-001.txt seif 23 marker _
OK siman_201\pitchei-teshuva\part-001.txt seif 25 marker _
OK siman_201\pitchei-teshuva\part-001.txt seif 33 marker _
OK siman_201\pitchei-teshuva\part-001.txt seif 34 marker _
OK siman_201\pitchei-teshuva\part-001.txt seif 41 marker _
OK siman_201\pitchei-teshuva\part-001.txt seif 46 marker _
OK siman_201\siftei-kohen\part-001.txt seif 20 marker ב
OK siman_201\siftei-kohen\part-001.txt seif 29 marker ב
OK siman_201\turei-zahav\part-001.txt seif 14 marker _
OK siman_201\turei-zahav\part-001.txt seif 20 marker _
OK siman_201\turei-zahav\part-001.txt seif 23 marker _
OK siman_201\turei-zahav\part-001.txt seif 27 marker _
OK siman_201\turei-zahav\part-001.txt seif 40 marker _
OK siman_201\turei-zahav\part-001.txt seif 57 marker _
OK siman_201\turei-zahav\part-001.txt seif 59 marker _
OK siman_201\turei-zahav\part-001.txt seif 63 marker _
OK siman_201\turei-zahav\part-001.txt seif 64 marker _
OK siman_201\turei-zahav\part-002.txt seif 69 marker _
OK siman_201\turei-zahav\part-002.txt seif 74 marker _
Loaded 514 glossary entries from C:\Users\binya\Documents\Shulchan aruch\full_dictionary (1).md 
Scan root: C:\Users\binya\Documents\Shulchan aruch\newtry\YD_001\output\siman_201
Scanned 15 .txt file(s).
Updated 0 file(s)
[DONE] retranslated 80 blocks in simanim 201
