Retranslate simanim 101-200 codes=[hebrew_in_english,untranslated_copy] dry=false
OK siman_106\baer-heitev\part-001.txt seif 1 marker _
OK siman_106\baer-heitev\part-001.txt seif 2 marker א
OK siman_106\baer-heitev\part-001.txt seif 2 marker ב
OK siman_106\baer-heitev\part-001.txt seif 2 marker ג
OK siman_106\beer-hagolah\part-001.txt seif 1 marker ב
OK siman_106\beer-hagolah\part-001.txt seif 1 marker ג
OK siman_106\beur-hagra\part-001.txt seif 1 marker ב
OK siman_106\beur-hagra\part-001.txt seif 1 marker ג
OK siman_106\beur-hagra\part-001.txt seif 1 marker ד
OK siman_106\beur-hagra\part-001.txt seif 1 marker ה
OK siman_106\beur-hagra\part-001.txt seif 1 marker ו
OK siman_106\beur-hagra\part-001.txt seif 2 marker א
OK siman_106\beur-hagra\part-001.txt seif 2 marker ב
OK siman_106\beur-hagra\part-001.txt seif 2 marker ג
OK siman_106\kaf-hachayim\part-001.txt seif 1 marker _
OK siman_106\kaf-hachayim\part-001.txt seif 2 marker _
OK siman_106\kereti\part-001.txt seif 1 marker א
OK siman_106\kereti\part-001.txt seif 1 marker ב
OK siman_106\kereti\part-001.txt seif 1 marker ג
OK siman_106\kereti\part-001.txt seif 1 marker ד
OK siman_106\kereti\part-001.txt seif 1 marker ה
OK siman_106\kereti\part-001.txt seif 1 marker ו
OK siman_106\kereti\part-001.txt seif 1 marker ז
OK siman_106\kereti\part-001.txt seif 2 marker _
OK siman_106\mateh-yehonatan\part-001.txt seif 1 marker _
OK siman_106\peleti\part-001.txt seif 1 marker א
OK siman_106\peleti\part-001.txt seif 1 marker ב
OK siman_106\peleti\part-001.txt seif 1 marker ג
OK siman_106\pitchei-teshuva\part-001.txt seif 1 marker _
OK siman_106\pitchei-teshuva\part-001.txt seif 2 marker _
OK siman_106\rabbi-akiva-eiger-yd\part-001.txt seif 1 marker _
OK siman_106\rabbi-akiva-eiger-yd\part-001.txt seif 2 marker _
OK siman_106\siftei-kohen\part-001.txt seif 1 marker א
OK siman_106\siftei-kohen\part-001.txt seif 1 marker ב
OK siman_106\siftei-kohen\part-001.txt seif 1 marker ג
OK siman_106\siftei-kohen\part-001.txt seif 1 marker ד
OK siman_106\siftei-kohen\part-001.txt seif 2 marker א
OK siman_106\siftei-kohen\part-001.txt seif 2 marker ב
OK siman_106\siftei-kohen\part-001.txt seif 2 marker ג
OK siman_106\turei-zahav\part-001.txt seif 1 marker _
OK siman_106\turei-zahav\part-001.txt seif 2 marker _
OK siman_106\yad-avraham\part-001.txt seif 1 marker _
OK siman_106\yad-avraham\part-001.txt seif 2 marker _
OK siman_107\baer-heitev\part-001.txt seif 1 marker א
OK siman_107\baer-heitev\part-001.txt seif 1 marker ב
OK siman_107\baer-heitev\part-001.txt seif 1 marker ג
OK siman_107\baer-heitev\part-001.txt seif 2 marker א
OK siman_107\baer-heitev\part-001.txt seif 2 marker ב
OK siman_107\baer-heitev\part-001.txt seif 2 marker ג
OK siman_107\baer-heitev\part-001.txt seif 2 marker ד
OK siman_107\beer-hagolah\part-001.txt seif 2 marker _
OK siman_107\beur-hagra\part-001.txt seif 1 marker א
OK siman_107\beur-hagra\part-001.txt seif 1 marker ב
OK siman_107\beur-hagra\part-001.txt seif 1 marker ג
OK siman_107\beur-hagra\part-001.txt seif 1 marker ד
OK siman_107\beur-hagra\part-001.txt seif 1 marker ה
OK siman_107\beur-hagra\part-001.txt seif 2 marker ב
OK siman_107\beur-hagra\part-001.txt seif 2 marker ג
OK siman_107\kaf-hachayim\part-001.txt seif 1 marker _
OK siman_107\kaf-hachayim\part-001.txt seif 2 marker _
OK siman_107\kereti\part-001.txt seif 1 marker א
OK siman_107\kereti\part-001.txt seif 1 marker ב
OK siman_107\kereti\part-001.txt seif 2 marker א
OK siman_107\kereti\part-001.txt seif 2 marker ב
OK siman_107\kereti\part-001.txt seif 2 marker ג
OK siman_107\kereti\part-001.txt seif 2 marker ד
OK siman_107\nekudot-hakesef\part-001.txt seif 1 marker _
OK siman_107\nekudot-hakesef\part-001.txt seif 2 marker _
OK siman_107\peleti\part-001.txt seif 1 marker _
OK siman_107\peleti\part-001.txt seif 2 marker _
OK siman_107\pitchei-teshuva\part-001.txt seif 1 marker _
OK siman_107\pitchei-teshuva\part-001.txt seif 2 marker _
OK siman_107\rabbi-akiva-eiger-yd\part-001.txt seif 1 marker _
OK siman_107\rabbi-akiva-eiger-yd\part-001.txt seif 2 marker _
OK siman_107\siftei-kohen\part-001.txt seif 1 marker א
OK siman_107\siftei-kohen\part-001.txt seif 1 marker ב
OK siman_107\siftei-kohen\part-001.txt seif 2 marker א
OK siman_107\siftei-kohen\part-001.txt seif 2 marker ב
OK siman_107\siftei-kohen\part-001.txt seif 2 marker ג
OK siman_107\siftei-kohen\part-001.txt seif 2 marker ד
OK siman_107\siftei-kohen\part-001.txt seif 2 marker ה
OK siman_107\turei-zahav\part-001.txt seif 1 marker א
OK siman_107\turei-zahav\part-001.txt seif 1 marker ב
OK siman_107\turei-zahav\part-001.txt seif 1 marker ג
OK siman_107\turei-zahav\part-001.txt seif 1 marker ד
OK siman_107\turei-zahav\part-001.txt seif 1 marker ה
OK siman_107\yad-avraham\part-001.txt seif 1 marker _
OK siman_107\yad-avraham\part-001.txt seif 2 marker _
OK siman_108\baer-heitev\part-001.txt seif 1 marker א
OK siman_108\baer-heitev\part-001.txt seif 1 marker ב
OK siman_108\baer-heitev\part-001.txt seif 1 marker ג
OK siman_108\baer-heitev\part-001.txt seif 1 marker ד
OK siman_108\baer-heitev\part-001.txt seif 1 marker ה
OK siman_108\baer-heitev\part-001.txt seif 1 marker ו
OK siman_108\baer-heitev\part-001.txt seif 1 marker ז
OK siman_108\baer-heitev\part-001.txt seif 1 marker ח
OK siman_108\baer-heitev\part-001.txt seif 1 marker ט
OK siman_108\baer-heitev\part-001.txt seif 1 marker י
OK siman_108\baer-heitev\part-001.txt seif 1 marker כ
OK siman_108\baer-heitev\part-001.txt seif 1 marker ל
OK siman_108\baer-heitev\part-001.txt seif 1 marker מ
OK siman_108\baer-heitev\part-001.txt seif 1 marker נ
OK siman_108\baer-heitev\part-001.txt seif 2 marker א
OK siman_108\baer-heitev\part-001.txt seif 2 marker ב
OK siman_108\baer-heitev\part-001.txt seif 3 marker א
OK siman_108\baer-heitev\part-001.txt seif 3 marker ב
OK siman_108\baer-heitev\part-001.txt seif 4 marker א
OK siman_108\baer-heitev\part-001.txt seif 4 marker ב
OK siman_108\baer-heitev\part-001.txt seif 5 marker א
OK siman_108\baer-heitev\part-001.txt seif 5 marker ב
OK siman_108\baer-heitev\part-001.txt seif 6 marker _
OK siman_108\baer-heitev\part-001.txt seif 7 marker _
OK siman_108\beer-hagolah\part-001.txt seif 1 marker _
OK siman_108\beer-hagolah\part-001.txt seif 2 marker _
OK siman_108\beer-hagolah\part-001.txt seif 3 marker _
OK siman_108\beer-hagolah\part-001.txt seif 4 marker _
OK siman_108\beer-hagolah\part-001.txt seif 5 marker _
OK siman_108\beer-hagolah\part-001.txt seif 6 marker _
OK siman_108\beur-hagra\part-001.txt seif 1 marker א
OK siman_108\beur-hagra\part-001.txt seif 1 marker ב
OK siman_108\beur-hagra\part-001.txt seif 1 marker ג
OK siman_108\beur-hagra\part-001.txt seif 1 marker ד
OK siman_108\beur-hagra\part-001.txt seif 1 marker ה
OK siman_108\beur-hagra\part-001.txt seif 1 marker ו
OK siman_108\beur-hagra\part-001.txt seif 1 marker ז
OK siman_108\beur-hagra\part-001.txt seif 1 marker ח
OK siman_108\beur-hagra\part-001.txt seif 1 marker ט
OK siman_108\beur-hagra\part-001.txt seif 1 marker י
OK siman_108\beur-hagra\part-001.txt seif 1 marker כ
OK siman_108\beur-hagra\part-001.txt seif 1 marker ל
OK siman_108\beur-hagra\part-001.txt seif 1 marker מ
OK siman_108\beur-hagra\part-001.txt seif 1 marker נ
OK siman_108\beur-hagra\part-001.txt seif 1 marker ס
OK siman_108\beur-hagra\part-001.txt seif 1 marker פ
OK siman_108\beur-hagra\part-001.txt seif 1 marker צ
OK siman_108\beur-hagra\part-001.txt seif 1 marker ק
OK siman_108\beur-hagra\part-001.txt seif 1 marker ר
OK siman_108\beur-hagra\part-001.txt seif 1 marker ש
OK siman_108\beur-hagra\part-001.txt seif 1 marker ת
OK siman_108\beur-hagra\part-001.txt seif 2 marker א
OK siman_108\beur-hagra\part-001.txt seif 2 marker ב
OK siman_108\beur-hagra\part-001.txt seif 2 marker ג
OK siman_108\beur-hagra\part-001.txt seif 3 marker א
OK siman_108\beur-hagra\part-001.txt seif 3 marker ב
