Retranslate simanim 101-200 codes=[mt_garbage] dry=false
OK siman_123\baer-heitev\part-001.txt seif 5 marker א
OK siman_123\baer-heitev\part-001.txt seif 5 marker ב
OK siman_123\baer-heitev\part-001.txt seif 9 marker ב
OK siman_123\baer-heitev\part-001.txt seif 14 marker א
OK siman_123\baer-heitev\part-001.txt seif 14 marker ב
OK siman_123\baer-heitev\part-001.txt seif 21 marker א
OK siman_123\baer-heitev\part-001.txt seif 26 marker _
OK siman_123\beer-hagolah\part-001.txt seif 3 marker _
OK siman_123\beer-hagolah\part-001.txt seif 4 marker _
OK siman_123\beer-hagolah\part-001.txt seif 5 marker _
OK siman_123\beer-hagolah\part-001.txt seif 7 marker _
OK siman_123\beer-hagolah\part-001.txt seif 10 marker _
OK siman_123\beer-hagolah\part-001.txt seif 14 marker _
OK siman_123\beer-hagolah\part-001.txt seif 16 marker _
OK siman_123\beer-hagolah\part-001.txt seif 20 marker _
OK siman_123\beer-hagolah\part-001.txt seif 23 marker _
OK siman_123\beer-hagolah\part-001.txt seif 24 marker _
OK siman_123\beur-hagra\part-001.txt seif 1 marker ג
OK siman_123\beur-hagra\part-001.txt seif 1 marker ד
OK siman_123\beur-hagra\part-001.txt seif 3 marker _
OK siman_123\beur-hagra\part-001.txt seif 4 marker א
OK siman_123\beur-hagra\part-001.txt seif 4 marker ג
OK siman_123\beur-hagra\part-001.txt seif 5 marker ג
OK siman_123\beur-hagra\part-001.txt seif 5 marker ד
OK siman_123\beur-hagra\part-001.txt seif 5 marker ה
OK siman_123\beur-hagra\part-001.txt seif 6 marker _
OK siman_123\beur-hagra\part-001.txt seif 7 marker _
OK siman_123\beur-hagra\part-001.txt seif 8 marker א
OK siman_123\beur-hagra\part-001.txt seif 8 marker ב
OK siman_123\beur-hagra\part-001.txt seif 8 marker ג
OK siman_123\beur-hagra\part-001.txt seif 8 marker ד
OK siman_123\beur-hagra\part-001.txt seif 9 marker ב
OK siman_123\beur-hagra\part-001.txt seif 9 marker ג
OK siman_123\beur-hagra\part-001.txt seif 11 marker א
OK siman_123\beur-hagra\part-001.txt seif 11 marker ג
OK siman_123\beur-hagra\part-001.txt seif 12 marker _
OK siman_123\beur-hagra\part-001.txt seif 14 marker א
OK siman_123\beur-hagra\part-001.txt seif 15 marker _
OK siman_123\beur-hagra\part-001.txt seif 17 marker א
OK siman_123\beur-hagra\part-001.txt seif 17 marker ב
OK siman_123\beur-hagra\part-001.txt seif 17 marker ד
OK siman_123\beur-hagra\part-001.txt seif 17 marker ה
OK siman_123\beur-hagra\part-001.txt seif 17 marker ו
OK siman_123\beur-hagra\part-001.txt seif 18 marker א
OK siman_123\beur-hagra\part-001.txt seif 18 marker ב
OK siman_123\beur-hagra\part-001.txt seif 18 marker ג
OK siman_123\beur-hagra\part-001.txt seif 20 marker ב
OK siman_123\beur-hagra\part-001.txt seif 21 marker ג
OK siman_123\beur-hagra\part-001.txt seif 23 marker _
OK siman_123\beur-hagra\part-001.txt seif 25 marker _
OK siman_123\beur-hagra\part-001.txt seif 26 marker _
OK siman_123\mateh-yehonatan\part-001.txt seif 1 marker _
OK siman_123\mateh-yehonatan\part-001.txt seif 2 marker _
OK siman_123\mateh-yehonatan\part-001.txt seif 3 marker _
OK siman_123\mateh-yehonatan\part-001.txt seif 4 marker _
OK siman_123\nekudot-hakesef\part-001.txt seif 1 marker _
OK siman_123\nekudot-hakesef\part-001.txt seif 2 marker _
OK siman_123\nekudot-hakesef\part-001.txt seif 6 marker _
OK siman_123\nekudot-hakesef\part-001.txt seif 7 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 1 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 3 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 4 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 8 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 10 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 11 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 15 marker _
OK siman_123\pitchei-teshuva\part-001.txt seif 16 marker _
OK siman_123\rabbi-akiva-eiger-yd\part-001.txt seif 2 marker _
OK siman_123\rabbi-akiva-eiger-yd\part-001.txt seif 6 marker _
OK siman_123\rabbi-akiva-eiger-yd\part-001.txt seif 7 marker _
OK siman_123\rabbi-akiva-eiger-yd\part-001.txt seif 8 marker _
OK siman_123\rabbi-akiva-eiger-yd\part-001.txt seif 10 marker _
OK siman_123\rabbi-akiva-eiger-yd\part-001.txt seif 11 marker _
OK siman_123\siftei-kohen\part-001.txt seif 1 marker ב
OK siman_123\siftei-kohen\part-001.txt seif 3 marker ב
OK siman_123\siftei-kohen\part-001.txt seif 5 marker ד
OK siman_123\siftei-kohen\part-001.txt seif 9 marker א
OK siman_123\siftei-kohen\part-001.txt seif 11 marker ד
OK siman_123\siftei-kohen\part-001.txt seif 13 marker _
OK siman_123\siftei-kohen\part-001.txt seif 14 marker א
OK siman_123\siftei-kohen\part-001.txt seif 15 marker ב
OK siman_123\siftei-kohen\part-001.txt seif 17 marker ב
OK siman_123\siftei-kohen\part-001.txt seif 19 marker ב
OK siman_123\siftei-kohen\part-001.txt seif 20 marker ג
OK siman_123\siftei-kohen\part-001.txt seif 21 marker א
OK siman_123\siftei-kohen\part-001.txt seif 21 marker ב
OK siman_123\siftei-kohen\part-001.txt seif 21 marker ג
OK siman_123\siftei-kohen\part-001.txt seif 26 marker א
OK siman_123\siftei-kohen\part-001.txt seif 26 marker ב
OK siman_123\turei-zahav\part-001.txt seif 1 marker א
OK siman_123\turei-zahav\part-001.txt seif 3 marker _
OK siman_123\turei-zahav\part-001.txt seif 5 marker _
OK siman_123\turei-zahav\part-001.txt seif 14 marker _
OK siman_123\turei-zahav\part-001.txt seif 17 marker _
OK siman_123\turei-zahav\part-001.txt seif 20 marker א
OK siman_123\turei-zahav\part-001.txt seif 21 marker א
OK siman_123\turei-zahav\part-001.txt seif 21 marker ב
OK siman_123\turei-zahav\part-001.txt seif 26 marker _
OK siman_123\yad-ephraim\part-001.txt seif 1 marker _
OK siman_123\yad-ephraim\part-001.txt seif 3 marker _
OK siman_123\yad-ephraim\part-001.txt seif 6 marker _
OK siman_124\baer-heitev\part-001.txt seif 14 marker א
