Retranslate simanim 202-300 codes=[mt_garbage] dry=false
OK siman_202\baer-heitev\part-001.txt seif 6 marker _
OK siman_202\beer-hagolah\part-001.txt seif 2 marker _
OK siman_202\beer-hagolah\part-001.txt seif 3 marker _
OK siman_202\beer-hagolah\part-001.txt seif 6 marker א
OK siman_202\beer-hagolah\part-001.txt seif 9 marker _
OK siman_202\beur-hagra\part-001.txt seif 1 marker _
OK siman_202\beur-hagra\part-001.txt seif 2 marker א
OK siman_202\beur-hagra\part-001.txt seif 2 marker ב
OK siman_202\beur-hagra\part-001.txt seif 4 marker _
OK siman_202\beur-hagra\part-001.txt seif 6 marker א
OK siman_202\siftei-kohen\part-001.txt seif 6 marker ד
OK siman_202\siftei-kohen\part-001.txt seif 8 marker _
OK siman_202\turei-zahav\part-001.txt seif 3 marker _
OK siman_203\baer-heitev\part-001.txt seif 1 marker _
OK siman_203\beer-hagolah\part-001.txt seif 5 marker _
OK siman_203\beer-hagolah\part-001.txt seif 6 marker _
OK siman_203\beer-hagolah\part-001.txt seif 7 marker _
OK siman_203\beur-hagra\part-001.txt seif 3 marker ב
OK siman_203\beur-hagra\part-001.txt seif 4 marker א
OK siman_203\beur-hagra\part-001.txt seif 4 marker ב
OK siman_203\pitchei-teshuva\part-001.txt seif 1 marker _
OK siman_203\pitchei-teshuva\part-001.txt seif 2 marker _
OK siman_203\rabbi-akiva-eiger-yd\part-001.txt seif 1 marker _
OK siman_203\turei-zahav\part-001.txt seif 1 marker _
OK siman_203\turei-zahav\part-001.txt seif 4 marker _
OK siman_204\baer-heitev\part-001.txt seif 4 marker _
OK siman_204\beer-hagolah\part-001.txt seif 1 marker _
OK siman_204\beer-hagolah\part-001.txt seif 4 marker _
OK siman_204\pitchei-teshuva\part-001.txt seif 1 marker _
OK siman_204\rabbi-akiva-eiger-yd\part-001.txt seif 3 marker _
OK siman_204\siftei-kohen\part-001.txt seif 2 marker ב
OK siman_204\siftei-kohen\part-001.txt seif 4 marker _
OK siman_204\turei-zahav\part-001.txt seif 1 marker _
OK siman_204\turei-zahav\part-001.txt seif 2 marker ד
OK siman_205\baer-heitev\part-001.txt seif 1 marker ב
OK siman_205\baer-heitev\part-001.txt seif 1 marker ג
OK siman_205\baer-heitev\part-001.txt seif 2 marker א
OK siman_205\baer-heitev\part-001.txt seif 2 marker ב
OK siman_205\beur-hagra\part-001.txt seif 1 marker ד
OK siman_205\pitchei-teshuva\part-001.txt seif 1 marker _
OK siman_205\siftei-kohen\part-001.txt seif 1 marker א
OK siman_205\siftei-kohen\part-001.txt seif 1 marker ד
OK siman_205\siftei-kohen\part-001.txt seif 2 marker ב
OK siman_205\siftei-kohen\part-001.txt seif 2 marker ד
OK siman_205\turei-zahav\part-001.txt seif 2 marker ב
OK siman_206\baer-heitev\part-001.txt seif 1 marker ב
