Retranslate simanim 301-403 codes=[mt_garbage] dry=false
OK siman_301\baer-heitev\part-001.txt seif 1 marker א
OK siman_301\baer-heitev\part-001.txt seif 6 marker _
OK siman_301\baer-heitev\part-001.txt seif 8 marker _
OK siman_301\baer-heitev\part-001.txt seif 13 marker _
OK siman_301\beer-hagolah\part-001.txt seif 1 marker _
OK siman_301\beer-hagolah\part-001.txt seif 3 marker _
OK siman_301\beer-hagolah\part-001.txt seif 4 marker _
OK siman_301\beer-hagolah\part-001.txt seif 7 marker _
OK siman_301\beer-hagolah\part-001.txt seif 14 marker _
OK siman_301\beur-hagra\part-001.txt seif 1 marker ב
OK siman_301\beur-hagra\part-001.txt seif 1 marker ה
OK siman_301\beur-hagra\part-001.txt seif 8 marker א
OK siman_301\beur-hagra\part-001.txt seif 8 marker ב
OK siman_301\beur-hagra\part-001.txt seif 9 marker ג
OK siman_301\beur-hagra\part-001.txt seif 10 marker _
OK siman_301\beur-hagra\part-001.txt seif 11 marker _
OK siman_301\beur-hagra\part-001.txt seif 13 marker _
OK siman_301\beur-hagra\part-001.txt seif 14 marker ג
OK siman_301\beur-hagra\part-001.txt seif 14 marker ד
OK siman_301\pitchei-teshuva\part-001.txt seif 3 marker _
OK siman_301\pitchei-teshuva\part-001.txt seif 5 marker _
OK siman_301\pitchei-teshuva\part-001.txt seif 9 marker _
OK siman_301\siftei-kohen\part-001.txt seif 1 marker א
OK siman_301\siftei-kohen\part-001.txt seif 2 marker א
OK siman_301\siftei-kohen\part-001.txt seif 6 marker _
OK siman_301\siftei-kohen\part-001.txt seif 11 marker _
OK siman_301\turei-zahav\part-001.txt seif 1 marker ב
OK siman_301\turei-zahav\part-001.txt seif 1 marker ד
OK siman_301\turei-zahav\part-001.txt seif 5 marker _
OK siman_301\turei-zahav\part-001.txt seif 6 marker א
OK siman_302\beer-hagolah\part-001.txt seif 1 marker _
OK siman_302\beur-hagra\part-001.txt seif 1 marker _
OK siman_302\beur-hagra\part-001.txt seif 2 marker ד
OK siman_302\turei-zahav\part-001.txt seif 1 marker א
OK siman_302\turei-zahav\part-001.txt seif 1 marker ב
OK siman_302\turei-zahav\part-001.txt seif 2 marker ב
OK siman_302\turei-zahav\part-001.txt seif 2 marker ג
OK siman_303\beer-hagolah\part-001.txt seif 1 marker א
OK siman_303\beur-hagra\part-001.txt seif 1 marker ב
OK siman_303\beur-hagra\part-001.txt seif 2 marker _
OK siman_303\yad-avraham\part-001.txt seif 1 marker _
OK siman_305\baer-heitev\part-001.txt seif 5 marker _
OK siman_305\baer-heitev\part-001.txt seif 8 marker ב
OK siman_305\baer-heitev\part-001.txt seif 13 marker ב
OK siman_305\baer-heitev\part-001.txt seif 13 marker ג
OK siman_305\baer-heitev\part-001.txt seif 27 marker _
OK siman_305\beer-hagolah\part-001.txt seif 1 marker _
OK siman_305\beer-hagolah\part-001.txt seif 7 marker _
OK siman_305\beer-hagolah\part-001.txt seif 9 marker _
OK siman_305\beer-hagolah\part-001.txt seif 11 marker _
OK siman_305\beer-hagolah\part-001.txt seif 15 marker _
OK siman_305\beer-hagolah\part-001.txt seif 17 marker _
OK siman_305\beer-hagolah\part-001.txt seif 19 marker _
OK siman_305\beer-hagolah\part-001.txt seif 22 marker _
OK siman_305\beur-hagra\part-001.txt seif 1 marker א
OK siman_305\beur-hagra\part-001.txt seif 1 marker ב
OK siman_305\beur-hagra\part-001.txt seif 1 marker ד
OK siman_305\beur-hagra\part-001.txt seif 3 marker _
OK siman_305\beur-hagra\part-001.txt seif 4 marker א
OK siman_305\beur-hagra\part-001.txt seif 5 marker _
OK siman_305\beur-hagra\part-001.txt seif 8 marker ב
OK siman_305\beur-hagra\part-001.txt seif 8 marker ג
OK siman_305\beur-hagra\part-001.txt seif 8 marker ה
